Customer_Id,Customer_Name,Customer_Type
1,Customer 1,Retailer
2,Customer 2,Distributor
3,Customer 3,Retailer
4,Customer 4,Retailer
5,Customer 5,Retailer
6,Customer 6,Retailer
7,Customer 7,Distributor
8,Customer 8,Distributor
9,Customer 9,Retailer
10,Customer 10,Retailer
11,Customer 11,Retailer
12,Customer 12,Distributor
13,Customer 13,Retailer
14,Customer 14,Retailer
15,Customer 15,Retailer
16,Customer 16,Retailer
17,Customer 17,Distributor
18,Customer 18,Retailer
19,Customer 19,Retailer
20,Customer 20,Retailer
