Date,Week,Month,Quarter,Year,Product_ID,SKU,Product_Name,Category_ID,Brand_ID,Region_ID,Warehouse_ID,Channel_ID,Customer_ID,Actual_Demand_Qty,Forecast_Qty,Sales_Qty,Sales_Value,Opening_Inventory,Closing_Inventory,Safety_Stock,Reorder_Point,Lead_Time_Days,Promotion_ID,Holiday_ID,Unit_Price,Discount_%,Stockout_Flag,Lost_Sales_Qty,Returns_Qty
2025-10-13,42,10,4,2025,38,SKU038,Cooking Oil,Home Care,HCR,3,1,2,12,179,174,179,1081.16,266,87,50,120,3,4,0,7.55,20,0,0,4
2025-12-31,1,12,4,2025,10,SKU010,Cheese Crackers,Snacks,SNK,6,4,4,12,94,96,94,911.8,256,162,50,120,6,1,4,9.7,0,0,0,1
2025-04-03,14,4,2,2025,34,SKU034,Floor Cleaner,Home Care,HCR,8,3,1,4,151,152,151,2412.22,246,95,50,120,10,2,0,17.75,10,0,0,3
2025-03-26,13,3,1,2025,38,SKU038,Cooking Oil,Home Care,HCR,6,3,3,20,131,144,131,378.59,291,160,50,120,9,3,0,3.4,15,0,0,4
2025-08-22,34,8,3,2025,18,SKU018,Yogurt Cup,Dairy,DAR,5,5,4,10,102,110,102,323.34,290,188,50,120,13,1,0,3.17,0,0,0,3
2025-12-09,50,12,4,2025,24,SKU024,Soap,Personal Care,PCR,5,2,2,13,205,193,205,627.3,246,41,50,120,8,1,0,3.06,0,0,0,3
2025-02-11,7,2,1,2025,32,SKU032,Toilet Cleaner,Home Care,HCR,5,4,3,13,207,183,207,2018.25,329,122,50,120,5,1,0,9.75,0,0,0,1
2025-02-12,7,2,1,2025,20,SKU020,Cheese Slices,Dairy,DAR,5,3,1,5,114,142,114,1436.4,332,218,50,120,8,1,0,12.6,0,0,0,4
2025-07-09,28,7,3,2025,15,SKU015,Pretzels,Snacks,SNK,1,4,4,13,197,198,197,3386.43,251,54,50,120,8,2,0,19.1,10,0,0,3
2025-02-23,8,2,1,2025,28,SKU028,Hand Wash,Personal Care,PCR,2,3,1,4,153,169,153,1519.29,173,20,50,120,2,1,0,9.93,0,0,0,4
2025-03-19,12,3,1,2025,13,SKU013,Nachos,Snacks,SNK,3,3,3,20,146,176,146,1905.3,173,27,50,120,7,1,0,13.05,0,0,0,3
2025-03-04,10,3,1,2025,27,SKU027,Body Lotion,Personal Care,PCR,3,1,3,9,201,220,201,1529.61,243,42,50,120,9,1,0,7.61,0,0,0,1
2025-09-22,39,9,3,2025,3,SKU003,Mineral Water 1.5L,Beverages,BVG,5,1,3,17,229,210,126,1971.9,126,0,50,120,7,1,0,15.65,0,1,103,1
2025-07-02,27,7,3,2025,2,SKU002,Orange Juice 1L,Beverages,BVG,4,2,4,8,334,336,282,1440.6,282,0,50,120,5,3,0,6.01,15,1,52,4
2025-09-10,37,9,3,2025,28,SKU028,Hand Wash,Personal Care,PCR,6,4,3,12,96,93,96,640.32,240,144,50,120,3,1,0,6.67,0,0,0,1
2025-02-22,8,2,1,2025,30,SKU030,Dishwashing Liquid,Personal Care,PCR,1,4,3,3,129,126,129,1674.42,350,221,50,120,12,1,0,12.98,0,0,0,0
2025-07-18,29,7,3,2025,4,SKU004,Energy Drink 250ml,Beverages,BVG,2,4,4,13,178,201,178,1915.28,322,144,50,120,13,4,0,13.45,20,0,0,0
2025-03-23,12,3,1,2025,35,SKU035,Cereal,Home Care,HCR,3,5,4,12,115,103,115,1899.8,239,124,50,120,4,1,0,16.52,0,0,0,4
2025-10-08,41,10,4,2025,38,SKU038,Cooking Oil,Home Care,HCR,3,4,2,7,89,86,89,1021.72,146,57,50,120,2,1,0,11.48,0,0,0,2
2025-04-19,16,4,2,2025,5,SKU005,Iced Tea 500ml,Beverages,BVG,3,1,3,15,132,146,132,1259.28,259,127,50,120,12,1,0,9.54,0,0,0,4
2025-09-22,39,9,3,2025,27,SKU027,Body Lotion,Personal Care,PCR,8,2,1,5,181,195,181,423.54,250,69,50,120,4,1,0,2.34,0,0,0,1
2025-08-31,35,8,3,2025,12,SKU012,Chocolate Cookies,Snacks,SNK,8,1,1,8,118,127,118,1226.61,252,134,50,120,5,2,0,11.55,10,0,0,2
2025-01-22,4,1,1,2025,1,SKU001,Cola 500ml,Beverages,BVG,8,3,2,9,199,238,199,3115.74,348,149,50,120,9,3,0,18.42,15,0,0,4
2025-10-01,40,10,4,2025,16,SKU016,Corn Chips,Dairy,DAR,5,5,2,15,257,256,257,3653.51,344,87,50,120,4,4,0,17.77,20,0,0,3
2025-03-04,10,3,1,2025,8,SKU008,Sparkling Water 500ml,Snacks,SNK,5,1,2,12,145,149,138,804.54,138,0,50,120,4,1,0,5.83,0,1,7,2
2025-03-12,11,3,1,2025,40,SKU040,Tea Pack,Home Care,HCR,4,2,4,17,133,162,133,1317.82,346,213,50,120,8,6,0,10.77,8,0,0,2
2025-08-04,32,8,3,2025,28,SKU028,Hand Wash,Personal Care,PCR,8,1,4,11,153,150,153,1831.41,206,53,50,120,10,1,0,11.97,0,0,0,4
2025-06-01,22,6,2,2025,29,SKU029,Laundry Detergent,Personal Care,PCR,2,1,3,9,110,90,110,2143.9,178,68,50,120,2,1,0,19.49,0,0,0,1
2025-05-19,21,5,2,2025,33,SKU033,Fabric Softener,Home Care,HCR,8,3,1,9,229,228,186,1471.91,186,0,50,120,2,3,0,9.31,15,1,43,1
2025-08-06,32,8,3,2025,34,SKU034,Floor Cleaner,Home Care,HCR,4,1,3,4,178,181,178,1047.92,325,147,50,120,9,5,0,6.69,12,0,0,0
2025-06-23,26,6,2,2025,34,SKU034,Floor Cleaner,Home Care,HCR,4,1,2,9,195,227,153,391.31,153,0,50,120,2,6,0,2.78,8,1,42,1
2025-04-14,16,4,2,2025,6,SKU006,Lemon Soda 330ml,Beverages,BVG,3,3,3,1,161,181,161,1558.48,234,73,50,120,6,5,0,11,12,0,0,0
2025-01-08,2,1,1,2025,39,SKU039,Rice,Home Care,HCR,8,1,4,16,185,210,185,1187.7,241,56,50,120,10,1,0,6.42,0,0,0,3
2025-09-17,38,9,3,2025,28,SKU028,Hand Wash,Personal Care,PCR,3,4,3,2,127,145,127,2269.49,333,206,50,120,4,1,0,17.87,0,0,0,0
